BITIRP,pioneer,30,30,244,58.47 MB
BITIRP,pioneer,30,25,276,83.45 MB
BITIRP,pioneer,30,20,473,102.37 MB
BITIRP,pioneer,30,15,515,119.86 MB
BITIRP,pioneer,30,10,603,156.40 MB
BITIRP,aslgt,2147483647,30,8754,1949.68 MB
BITIRP,aslgt,2147483647,25,9649,2158.69 MB
BITIRP,aslgt,2147483647,20,11146,2616.79 MB
BITIRP,aslgt,2147483647,15,13289,3961.37 MB
BITIRP,aslgt,2147483647,10,20272,7443.60 MB
BITIRP,context,30,60,1011,380.19 MB
BITIRP,context,30,55,1790,626.94 MB
BITIRP,context,30,50,3484,811.93 MB
BITIRP,context,30,45,4693,1663.56 MB
BITIRP,context,30,40,14650,5116.51 MB
BITIRP,context,30,35,36451,16130.73 MB
BITIRP,hepatitis,2147483647,60,9379,2431.87 MB
BITIRP,hepatitis,2147483647,55,12116,3142.75 MB
BITIRP,hepatitis,2147483647,50,15942,4810.10 MB
BITIRP,hepatitis,2147483647,45,27014,9216.62 MB
BITIRP,hepatitis,2147483647,40,51204,18495.26 MB
BITIRP,hepatitis,2147483647,35,153034,44483.31 MB
BITIRP,diabetes,30,60,3118,1232.95 MB
BITIRP,diabetes,30,55,4988,1361.73 MB
BITIRP,diabetes,30,50,4578,1552.71 MB
BITIRP,diabetes,30,45,6293,2101.39 MB
BITIRP,diabetes,30,40,8690,2878.00 MB
BITIRP,diabetes,30,35,11564,3991.24 MB
BITIRP,smarthome,30,60,2614,1053.65 MB
BITIRP,smarthome,30,55,5464,1641.62 MB
BITIRP,smarthome,30,50,6857,2371.80 MB
BITIRP,smarthome,30,45,10554,3400.26 MB
BITIRP,smarthome,30,40,16631,5269.70 MB
BITIRP,smarthome,30,35,26479,7795.28 MB
BITIRP,smarthome,30,30,53507,12856.23 MB
